"Hverfi";"Ár";"Fjöldi í úrtaki";"Meðalflatarmál";"Meðalkaupverð (þús. kr.)";"Meðalstaðgreiðsluverð (þús. kr.)";"Meðalkaup.verð pr.ferm (kr./m²)";"Meðalstaðgr.verð pr. ferm (kr./m²)"
"Hraun, Hafnarfjörður";1996;27;88;6208;5774;76635;71217
"Hraun, Hafnarfjörður";1997;39;94;6486;6006;74588;69260
"Hraun, Hafnarfjörður";1998;33;92;6589;6382;75805;73479
"Hraun, Hafnarfjörður";1999;37;91;7532;7473;87926;87316
"Hraun, Hafnarfjörður";2000;37;102;9880;9194;104048;96666
"Hraun, Hafnarfjörður";2001;29;108;11059;10192;107756;98913
"Hraun, Hafnarfjörður";2002;39;96;10562;9831;116382;108414
"Hraun, Hafnarfjörður";2003;35;99;11251;11053;119630;117567
"Hraun, Hafnarfjörður";2004;37;100;12285;12232;130402;130037
"Hraun, Hafnarfjörður";2005;44;92;14785;14704;169091;168167
"Hraun, Hafnarfjörður";2006;27;96;17939;17646;190795;187593
"Hraun, Hafnarfjörður";2007;56;95;21497;20827;235372;227793
"Hraun, Hafnarfjörður";2008;20;87;22356;21716;260096;252720
"Hraun, Hafnarfjörður";2009;6;106;20583;19030;197840;182510
"Hraun, Hafnarfjörður";2010;11;116;21565;21133;189669;184989
"Hraun, Hafnarfjörður";2011;20;117;21414;20657;189483;182718
"Hraun, Hafnarfjörður";2012;12;90;18228;17531;205198;196392
"Hraun, Hafnarfjörður";2013;18;114;21730;21155;206996;201633
"Hraun, Hafnarfjörður";2014;16;88;20312;19931;240409;235181
"Hraun, Hafnarfjörður";2015;43;100;27634;27440;286338;283861
"Hraun, Hafnarfjörður";2016;35;114;32634;32518;300351;299391
"Hraun, Hafnarfjörður";2017;34;110;39571;39199;372518;369189
"Hraun, Hafnarfjörður";2018;34;103;37132;37028;378873;377871
"Hraun, Hafnarfjörður";2019;35;99;37929;37831;408482;407448
"Hraun, Hafnarfjörður";2020;43;103;41988;41836;425041;423384
"Ás, Hafnarfjörður";2000;53;128;14077;13065;114528;104562
"Ás, Hafnarfjörður";2001;90;111;12727;11500;115634;104301
"Ás, Hafnarfjörður";2002;108;104;13239;12056;128541;117015
"Ás, Hafnarfjörður";2003;74;103;14252;13934;140093;136999
"Ás, Hafnarfjörður";2004;53;109;16630;16598;155617;155433
"Ás, Hafnarfjörður";2005;65;100;20048;19925;201288;200170
"Ás, Hafnarfjörður";2006;42;96;21088;20752;220870;217353
"Ás, Hafnarfjörður";2007;74;102;23832;23058;234080;226858
"Ás, Hafnarfjörður";2008;31;97;25410;24037;260844;247907
"Ás, Hafnarfjörður";2009;10;111;28350;25967;255316;233540
"Ás, Hafnarfjörður";2010;18;99;22576;21690;229349;220379
"Ás, Hafnarfjörður";2011;41;104;24591;23927;236820;230469
"Ás, Hafnarfjörður";2012;72;105;26010;25579;247669;243333
"Ás, Hafnarfjörður";2013;35;104;25531;25130;248504;244884
"Ás, Hafnarfjörður";2014;69;99;28188;27774;286612;282583
"Ás, Hafnarfjörður";2015;45;99;30202;29933;306928;304045
"Ás, Hafnarfjörður";2016;60;100;34358;34067;347191;344385
"Ás, Hafnarfjörður";2017;56;102;41146;40897;406875;404421
"Ás, Hafnarfjörður";2018;48;99;41340;41155;422237;420430
"Ás, Hafnarfjörður";2019;47;105;45500;45350;437818;436494
"Ás, Hafnarfjörður";2020;54;103;46985;46808;462713;460920
"Berg, Hafnarfjörður";1994;7;107;8493;8033;84003;79840
"Berg, Hafnarfjörður";1995;9;128;8597;7875;73012;66381
"Berg, Hafnarfjörður";1996;19;106;8112;7512;83073;77195
"Berg, Hafnarfjörður";1997;19;94;7805;7380;87453;82976
"Berg, Hafnarfjörður";1998;30;111;8797;8572;82687;80469
"Berg, Hafnarfjörður";1999;48;129;10649;10521;85989;85141
"Berg, Hafnarfjörður";2000;30;96;10630;10071;115391;109307
"Berg, Hafnarfjörður";2001;32;93;11282;10513;127036;117990
"Berg, Hafnarfjörður";2002;34;113;13214;12282;120552;111950
"Berg, Hafnarfjörður";2003;31;96;13017;12810;140754;138601
"Berg, Hafnarfjörður";2004;38;104;14599;14570;149868;149329
"Berg, Hafnarfjörður";2005;30;103;20205;20054;202684;201430
"Berg, Hafnarfjörður";2006;26;99;20783;20247;216168;210770
"Berg, Hafnarfjörður";2007;44;113;26673;25686;242143;233847
"Berg, Hafnarfjörður";2008;5;125;29580;28665;242960;236354
"Berg, Hafnarfjörður";2009;3;96;20600;19944;221188;214283
"Berg, Hafnarfjörður";2010;13;107;22069;21208;209791;200897
"Berg, Hafnarfjörður";2011;23;113;23503;22835;218730;211756
"Berg, Hafnarfjörður";2012;16;98;22861;22352;238648;233652
"Berg, Hafnarfjörður";2013;15;94;24188;23377;263383;255711
"Berg, Hafnarfjörður";2014;30;104;27101;26698;267662;263655
"Berg, Hafnarfjörður";2015;30;105;31169;30935;309617;307240
"Berg, Hafnarfjörður";2016;34;112;35109;34881;330477;328456
"Berg, Hafnarfjörður";2017;32;95;38339;38108;419301;417247
"Berg, Hafnarfjörður";2018;24;110;43067;42920;412212;411016
"Berg, Hafnarfjörður";2019;28;114;45061;44920;414340;413323
"Berg, Hafnarfjörður";2020;26;101;45377;45168;473703;471696
"Vellir, Hafnarfjörður";2003;53;99;13463;13287;137809;136166
"Vellir, Hafnarfjörður";2004;256;106;14877;14630;142514;140181
"Vellir, Hafnarfjörður";2005;209;101;18961;18436;189503;184369
"Vellir, Hafnarfjörður";2006;202;107;21703;21329;203183;199729
"Vellir, Hafnarfjörður";2007;244;111;24246;23678;220855;215739
"Vellir, Hafnarfjörður";2008;65;102;24037;23137;238613;230095
"Vellir, Hafnarfjörður";2009;43;107;24795;23491;233222;221698
"Vellir, Hafnarfjörður";2010;44;104;22065;21386;214432;207686
"Vellir, Hafnarfjörður";2011;65;105;22493;21778;217481;210481
"Vellir, Hafnarfjörður";2012;72;105;24153;23308;232448;224128
"Vellir, Hafnarfjörður";2013;104;102;23867;23342;237418;232387
"Vellir, Hafnarfjörður";2014;115;98;25477;25054;264304;259955
"Vellir, Hafnarfjörður";2015;153;100;28318;28104;287667;285649
"Vellir, Hafnarfjörður";2016;157;98;32158;31955;336659;334542
"Vellir, Hafnarfjörður";2017;164;98;39351;39017;414198;411038
"Vellir, Hafnarfjörður";2018;154;97;42047;41762;443698;440934
"Vellir, Hafnarfjörður";2019;129;101;43493;43265;442142;440048
"Vellir, Hafnarfjörður";2020;170;100;45386;45232;467038;465703
"Seltjarnarnes";1990;40;94;6826;6067;74877;66218
"Seltjarnarnes";1991;57;92;7208;6289;81129;70712
"Seltjarnarnes";1992;42;94;7465;6709;80482;72451
"Seltjarnarnes";1993;32;84;6964;6362;84879;77729
"Seltjarnarnes";1994;74;112;8572;8095;81025;76661
"Seltjarnarnes";1995;94;98;7607;7028;81331;75231
"Seltjarnarnes";1996;62;108;7688;7211;73630;68904
"Seltjarnarnes";1997;81;105;7691;7161;76780;71489
"Seltjarnarnes";1998;75;98;8103;7847;86327;83623
"Seltjarnarnes";1999;80;96;8536;8482;92089;91568
"Seltjarnarnes";2000;67;106;11207;10609;108778;102906
"Seltjarnarnes";2001;58;101;11960;11115;121556;113055
"Seltjarnarnes";2002;71;105;12345;11440;120621;111904
"Seltjarnarnes";2003;66;102;13435;13257;135555;134156
"Seltjarnarnes";2004;96;109;15365;15187;145298;143780
"Seltjarnarnes";2005;76;98;19081;18906;195845;194168
"Seltjarnarnes";2006;58;109;25923;25378;241772;237396
"Seltjarnarnes";2007;75;109;27722;26903;261560;254224
"Seltjarnarnes";2008;31;102;28673;27708;278846;268215
"Seltjarnarnes";2009;16;104;24279;23014;235616;224678
"Seltjarnarnes";2010;25;106;24230;23755;240248;235099
"Seltjarnarnes";2011;60;108;29158;28641;267307;262783
"Seltjarnarnes";2012;60;114;30801;30404;273080;269353
"Seltjarnarnes";2013;72;107;31726;31236;306088;300878
"Seltjarnarnes";2014;75;115;40456;39761;352661;347243
"Seltjarnarnes";2015;77;115;39553;39156;355045;351721
"Seltjarnarnes";2016;96;118;51511;50793;442651;436674
"Seltjarnarnes";2017;63;115;51845;51422;461045;457677
"Seltjarnarnes";2018;87;112;53544;53137;497290;493430
"Seltjarnarnes";2019;63;107;52320;51927;506936;503683
"Seltjarnarnes";2020;80;110;54957;54450;518228;514096
"Mosfellsbær";1990;14;127;6986;6069;56358;48600
"Mosfellsbær";1991;13;115;7023;6134;64069;55987
"Mosfellsbær";1992;10;105;7175;6505;69859;63427
"Mosfellsbær";1993;11;97;6636;5957;69504;62589
"Mosfellsbær";1994;29;117;7997;7486;72546;67911
"Mosfellsbær";1995;36;99;6697;6228;71190;66310
"Mosfellsbær";1996;42;105;7003;6536;70872;66422
"Mosfellsbær";1997;50;107;7563;7059;72978;68077
"Mosfellsbær";1998;64;103;7549;7295;75407;72820
"Mosfellsbær";1999;74;109;8756;8690;82589;82020
"Mosfellsbær";2000;62;103;10423;9794;104966;98641
"Mosfellsbær";2001;76;102;11379;10520;115741;106939
"Mosfellsbær";2002;117;102;12033;11144;123184;114042
"Mosfellsbær";2003;147;96;12615;12408;135461;133327
"Mosfellsbær";2004;149;98;14207;14103;149723;148771
"Mosfellsbær";2005;203;112;20044;19796;183741;181604
"Mosfellsbær";2006;105;106;22557;22180;216956;213349
"Mosfellsbær";2007;151;107;25234;24654;241104;235974
"Mosfellsbær";2008;68;107;26136;25084;251944;242096
"Mosfellsbær";2009;33;102;24742;23375;243535;230789
"Mosfellsbær";2010;42;105;21892;21132;214672;206511
"Mosfellsbær";2011;81;106;23003;22504;220990;216151
"Mosfellsbær";2012;66;105;25170;24502;242617;236590
"Mosfellsbær";2013;77;110;27347;26649;254831;248244
"Mosfellsbær";2014;104;108;29993;29617;284348;280948
"Mosfellsbær";2015;112;111;31888;31549;300262;296948
"Mosfellsbær";2016;132;108;35939;35633;345014;342421
"Mosfellsbær";2017;189;103;41172;40732;414763;410106
"Mosfellsbær";2018;344;103;44074;43706;440543;436744
"Mosfellsbær";2019;204;104;48032;47704;471687;468727
"Mosfellsbær";2020;317;101;49825;49357;511291;507501
"Lunda- og Gerðahverfi, Akureyri";1990;49;75;4403;3961;59767;53671
"Lunda- og Gerðahverfi, Akureyri";1991;39;70;4628;4036;66553;58061
"Lunda- og Gerðahverfi, Akureyri";1992;40;71;4938;4364;71275;63094
"Lunda- og Gerðahverfi, Akureyri";1993;42;76;5333;4908;71543;65709
"Lunda- og Gerðahverfi, Akureyri";1994;43;86;5947;6037;72785;72921
"Lunda- og Gerðahverfi, Akureyri";1995;44;92;5889;5510;70242;65646
"Lunda- og Gerðahverfi, Akureyri";1996;45;73;5390;4994;74692;69426
"Lunda- og Gerðahverfi, Akureyri";1997;46;71;5195;4847;74096;69350
"Lunda- og Gerðahverfi, Akureyri";1998;47;78;5762;5583;75840;73669
"Lunda- og Gerðahverfi, Akureyri";1999;55;74;5832;5805;80575;80269
"Lunda- og Gerðahverfi, Akureyri";2000;55;72;6325;5970;88281;83364
"Lunda- og Gerðahverfi, Akureyri";2001;41;75;7001;6481;95822;88639
"Lunda- og Gerðahverfi, Akureyri";2002;38;83;8146;7541;99410;92012
"Lunda- og Gerðahverfi, Akureyri";2003;42;83;9074;8905;112683;110729
"Lunda- og Gerðahverfi, Akureyri";2004;83;87;10181;10079;117415;116385
"Lunda- og Gerðahverfi, Akureyri";2005;75;76;9479;9446;126084;125627
"Lunda- og Gerðahverfi, Akureyri";2006;42;85;14283;14129;174437;172353
"Lunda- og Gerðahverfi, Akureyri";2007;50;81;13657;13391;171977;168448
"Lunda- og Gerðahverfi, Akureyri";2008;26;81;15475;14953;194251;187935
"Lunda- og Gerðahverfi, Akureyri";2009;11;74;12599;12167;172169;166951
"Lunda- og Gerðahverfi, Akureyri";2010;7;84;13431;13164;162534;158475
"Lunda- og Gerðahverfi, Akureyri";2011;32;76;12245;12029;163166;160454
"Lunda- og Gerðahverfi, Akureyri";2012;34;84;15558;15182;189800;185083
"Lunda- og Gerðahverfi, Akureyri";2013;43;80;14922;14531;189819;185218
"Lunda- og Gerðahverfi, Akureyri";2014;40;80;15814;15499;200994;197099
"Lunda- og Gerðahverfi, Akureyri";2015;51;76;17298;17121;233338;231393
"Lunda- og Gerðahverfi, Akureyri";2016;63;79;19698;19536;251825;249898
"Lunda- og Gerðahverfi, Akureyri";2017;67;81;22590;22460;285336;283710
"Lunda- og Gerðahverfi, Akureyri";2018;72;82;24992;24842;317854;315888
"Lunda- og Gerðahverfi, Akureyri";2019;39;81;26062;25900;329542;327632
"Lunda- og Gerðahverfi, Akureyri";2020;62;77;25983;25771;345692;342846
"Holta- og Hlíðahverfi, Akureyri";1990;8;107;5254;4766;50558;45659
"Holta- og Hlíðahverfi, Akureyri";1991;7;103;5581;4750;60407;51183
"Holta- og Hlíðahverfi, Akureyri";1992;9;94;5517;5063;60541;55277
"Holta- og Hlíðahverfi, Akureyri";1993;6;92;4833;4603;53242;50610
"Holta- og Hlíðahverfi, Akureyri";1994;36;98;5911;5647;64926;61982
"Holta- og Hlíðahverfi, Akureyri";1995;36;91;5680;5242;64434;59429
"Holta- og Hlíðahverfi, Akureyri";1996;46;96;5660;5281;63279;59025
"Holta- og Hlíðahverfi, Akureyri";1997;45;92;5790;5394;66766;62209
"Holta- og Hlíðahverfi, Akureyri";1998;44;90;5938;5748;67927;65772
"Holta- og Hlíðahverfi, Akureyri";1999;87;94;6189;6162;69207;68886
"Holta- og Hlíðahverfi, Akureyri";2000;56;91;6523;6155;75228;70762
"Holta- og Hlíðahverfi, Akureyri";2001;35;88;7582;7010;89050;82372
"Holta- og Hlíðahverfi, Akureyri";2002;45;93;7747;7210;87706;81636
"Holta- og Hlíðahverfi, Akureyri";2003;37;92;8625;8483;96507;94806
"Holta- og Hlíðahverfi, Akureyri";2004;49;93;8930;8885;99779;99318
"Holta- og Hlíðahverfi, Akureyri";2005;91;92;10931;10892;120893;120541
"Holta- og Hlíðahverfi, Akureyri";2006;39;89;13500;13352;154856;153475
"Holta- og Hlíðahverfi, Akureyri";2007;46;85;13151;12843;160109;156495
"Holta- og Hlíðahverfi, Akureyri";2008;19;96;15087;14499;162924;156385
"Holta- og Hlíðahverfi, Akureyri";2009;17;77;11555;11167;151711;147256
"Holta- og Hlíðahverfi, Akureyri";2010;19;93;15754;14802;168521;158197
"Holta- og Hlíðahverfi, Akureyri";2011;29;84;13341;12777;161206;154851
"Holta- og Hlíðahverfi, Akureyri";2012;33;95;16410;15591;174645;166703
"Holta- og Hlíðahverfi, Akureyri";2013;33;94;17661;17350;187067;182938
"Holta- og Hlíðahverfi, Akureyri";2014;43;91;17165;16849;190755;186822
"Holta- og Hlíðahverfi, Akureyri";2015;38;87;19504;19195;222880;219891
"Holta- og Hlíðahverfi, Akureyri";2016;59;91;20488;20373;229318;228128
"Holta- og Hlíðahverfi, Akureyri";2017;56;90;23744;23470;274451;271677
"Holta- og Hlíðahverfi, Akureyri";2018;83;84;29348;29199;365291;363593
"Holta- og Hlíðahverfi, Akureyri";2019;37;79;26066;25861;342449;339770
"Holta- og Hlíðahverfi, Akureyri";2020;67;86;27913;27700;329206;326816
"Brekka og Innbær, Akureyri";1990;31;111;4657;4145;43394;38539
"Brekka og Innbær, Akureyri";1991;19;103;4618;4163;46709;42396
"Brekka og Innbær, Akureyri";1992;18;117;5946;5260;50745;44797
"Brekka og Innbær, Akureyri";1993;33;115;5686;5151;52300;47485
"Brekka og Innbær, Akureyri";1994;50;106;4811;4616;48271;46475
"Brekka og Innbær, Akureyri";1995;52;104;5398;5011;54293;50375
"Brekka og Innbær, Akureyri";1996;90;107;6024;5638;59534;56032
"Brekka og Innbær, Akureyri";1997;64;113;5843;5447;53273;49874
"Brekka og Innbær, Akureyri";1998;65;107;6344;6220;64324;63274
"Brekka og Innbær, Akureyri";1999;102;100;6476;6465;68665;68968
"Brekka og Innbær, Akureyri";2000;105;104;7382;6972;75113;70953
"Brekka og Innbær, Akureyri";2001;71;107;7734;7132;77015;71110
"Brekka og Innbær, Akureyri";2002;80;104;8541;7891;85944;79462
"Brekka og Innbær, Akureyri";2003;61;108;9322;9166;89511;88141
"Brekka og Innbær, Akureyri";2004;75;105;9642;9578;96783;96472
"Brekka og Innbær, Akureyri";2005;138;107;11318;11282;109674;109430
"Brekka og Innbær, Akureyri";2006;83;95;13678;13455;161723;159580
"Brekka og Innbær, Akureyri";2007;73;99;15040;14630;160098;155716
"Brekka og Innbær, Akureyri";2008;33;108;16897;16112;162070;154195
"Brekka og Innbær, Akureyri";2009;23;112;16287;15612;153505;147051
"Brekka og Innbær, Akureyri";2010;30;102;14532;14079;149552;145344
"Brekka og Innbær, Akureyri";2011;39;115;15460;14981;140153;135775
"Brekka og Innbær, Akureyri";2012;36;99;15975;15408;165374;159811
"Brekka og Innbær, Akureyri";2013;56;112;17678;17391;165905;162807
"Brekka og Innbær, Akureyri";2014;63;107;17853;17593;176323;173485
"Brekka og Innbær, Akureyri";2015;80;112;21235;20907;201805;198934
"Brekka og Innbær, Akureyri";2016;67;116;23151;22944;211884;210432
"Brekka og Innbær, Akureyri";2017;88;105;27584;27306;282633;280121
"Brekka og Innbær, Akureyri";2018;80;92;26494;26263;311473;308374
"Brekka og Innbær, Akureyri";2019;73;110;32579;32340;323109;320847
"Brekka og Innbær, Akureyri";2020;68;100;30940;30374;326954;320515
"Giljahverfi, Akureyri";1990;3;97;4217;3905;44595;41392
"Giljahverfi, Akureyri";1994;4;253;7459;7045;60647;57648
"Giljahverfi, Akureyri";1995;6;87;5317;5141;63116;61470
"Giljahverfi, Akureyri";1996;3;118;7964;7297;66354;60817
"Giljahverfi, Akureyri";1997;3;110;8267;7782;75825;71389
"Giljahverfi, Akureyri";1998;8;100;6743;6612;70696;69374
"Giljahverfi, Akureyri";1999;26;93;7991;7932;87372;86749
"Giljahverfi, Akureyri";2000;19;153;14715;14312;91376;86615
"Giljahverfi, Akureyri";2001;47;89;9113;8484;103571;96494
"Giljahverfi, Akureyri";2002;35;94;9937;9243;107990;100532
"Giljahverfi, Akureyri";2003;40;91;10632;10496;119421;117794
"Giljahverfi, Akureyri";2004;41;94;11857;11831;128455;128246
"Giljahverfi, Akureyri";2005;71;89;13800;13712;156152;155157
"Giljahverfi, Akureyri";2006;38;86;16808;16699;196013;194815
"Giljahverfi, Akureyri";2007;42;92;17325;16841;189790;184619
"Giljahverfi, Akureyri";2008;14;103;18162;17138;180439;170183
"Giljahverfi, Akureyri";2009;10;87;16178;15330;186557;176372
"Giljahverfi, Akureyri";2010;27;86;16987;16085;198280;188364
"Giljahverfi, Akureyri";2011;17;89;17598;16714;201346;191565
"Giljahverfi, Akureyri";2012;31;95;20344;19561;216459;208616
"Giljahverfi, Akureyri";2013;21;96;20999;20319;222048;214698
"Giljahverfi, Akureyri";2014;37;91;20700;20264;231725;226395
"Giljahverfi, Akureyri";2015;42;98;23669;23246;248288;244030
"Giljahverfi, Akureyri";2016;29;92;24100;23855;267052;264712
"Giljahverfi, Akureyri";2017;31;99;28570;28286;300833;297681
"Giljahverfi, Akureyri";2018;29;100;31610;31259;322374;319111
"Giljahverfi, Akureyri";2019;32;95;31553;31372;340287;338307
"Giljahverfi, Akureyri";2020;31;100;33953;33681;350475;347832
"Oddeyri, Akureyri";1990;21;104;4180;3770;40733;36718
"Oddeyri, Akureyri";1991;5;111;5240;4357;47691;39861
"Oddeyri, Akureyri";1992;26;96;4445;3933;46307;41209
"Oddeyri, Akureyri";1993;21;107;5679;5187;54772;49908
"Oddeyri, Akureyri";1994;22;95;4845;4678;55464;53454
"Oddeyri, Akureyri";1995;33;92;4815;4524;54736;51454
"Oddeyri, Akureyri";1996;31;89;4960;4628;57203;53680
"Oddeyri, Akureyri";1997;28;109;6238;5854;59456;55787
"Oddeyri, Akureyri";1998;31;103;5872;5704;60464;58873
"Oddeyri, Akureyri";1999;50;98;6402;6379;68074;67838
"Oddeyri, Akureyri";2000;42;83;5954;5542;74131;69018
"Oddeyri, Akureyri";2001;19;88;6326;5860;76676;71214
"Oddeyri, Akureyri";2002;25;83;7522;6971;94661;87888
"Oddeyri, Akureyri";2003;18;92;8028;7892;89880;88493
"Oddeyri, Akureyri";2004;37;102;8703;8662;87547;87208
"Oddeyri, Akureyri";2005;45;104;10846;10804;110399;110004
"Oddeyri, Akureyri";2006;27;100;12781;12671;134762;133660
"Oddeyri, Akureyri";2007;22;82;11930;11552;150499;145833
"Oddeyri, Akureyri";2008;13;96;13559;12595;151831;142374
"Oddeyri, Akureyri";2009;4;91;9601;9144;105032;98998
"Oddeyri, Akureyri";2010;7;87;10593;10319;125285;121526
"Oddeyri, Akureyri";2011;17;104;14894;14300;147650;141223
"Oddeyri, Akureyri";2012;15;125;17720;17370;152572;149369
"Oddeyri, Akureyri";2013;25;116;16623;16224;145854;142351
"Oddeyri, Akureyri";2014;21;103;16060;15917;161681;159853
"Oddeyri, Akureyri";2015;28;100;16725;16447;171292;168316
"Oddeyri, Akureyri";2016;30;104;18553;18369;188270;186433
"Oddeyri, Akureyri";2017;25;101;22448;22277;233400;231880
"Oddeyri, Akureyri";2018;19;92;24168;24043;273687;272524
"Oddeyri, Akureyri";2019;26;101;26875;26581;271860;269141
"Oddeyri, Akureyri";2020;12;116;28625;28536;266017;265210
"Síðuhverfi, Akureyri";1990;3;67;4700;3634;70090;55119
"Síðuhverfi, Akureyri";1991;3;78;5683;4469;71661;56614
"Síðuhverfi, Akureyri";1992;3;78;5867;4804;76673;62474
"Síðuhverfi, Akureyri";1993;14;75;6289;6114;84419;82331
"Síðuhverfi, Akureyri";1994;35;80;6260;6047;80816;78098
"Síðuhverfi, Akureyri";1995;18;75;5616;5206;75439;69848
"Síðuhverfi, Akureyri";1996;39;77;5491;5055;72966;67139
"Síðuhverfi, Akureyri";1997;29;80;5546;5126;71387;66243
"Síðuhverfi, Akureyri";1998;26;79;5786;5675;75151;73602
"Síðuhverfi, Akureyri";1999;43;71;5468;5431;78376;77950
"Síðuhverfi, Akureyri";2000;36;83;6831;6355;82498;76762
"Síðuhverfi, Akureyri";2001;31;75;6922;6317;94714;86412
"Síðuhverfi, Akureyri";2002;37;88;8222;7592;95055;87707
"Síðuhverfi, Akureyri";2003;31;83;8540;8393;106936;105170
"Síðuhverfi, Akureyri";2004;50;83;9406;9395;113846;113637
"Síðuhverfi, Akureyri";2005;85;81;10120;10094;126967;126637
"Síðuhverfi, Akureyri";2006;31;83;13615;13398;165826;163138
"Síðuhverfi, Akureyri";2007;47;76;12761;12277;169543;163195
"Síðuhverfi, Akureyri";2008;14;75;12671;11801;170073;157834
"Síðuhverfi, Akureyri";2009;15;79;13090;12544;167449;160523
"Síðuhverfi, Akureyri";2010;15;73;12049;11424;166749;157869
"Síðuhverfi, Akureyri";2011;17;75;12609;12299;172224;167218
"Síðuhverfi, Akureyri";2012;18;76;12698;12277;170038;164184
"Síðuhverfi, Akureyri";2013;49;83;14536;13943;178721;171470
"Síðuhverfi, Akureyri";2014;46;80;14731;14178;188902;181620
"Síðuhverfi, Akureyri";2015;41;80;17501;17207;221570;217921
"Síðuhverfi, Akureyri";2016;40;87;19270;19136;224919;223492
"Síðuhverfi, Akureyri";2017;45;79;22643;22486;290214;288256
"Síðuhverfi, Akureyri";2018;41;81;25051;24913;313189;311526
"Síðuhverfi, Akureyri";2019;53;87;26891;26760;317587;315954
"Síðuhverfi, Akureyri";2020;50;82;26190;26014;327228;325211
"Naustahverfi, Akureyri";2000;8;100;9175;8834;92491;88598
"Naustahverfi, Akureyri";2002;12;113;13297;12553;117553;110971
"Naustahverfi, Akureyri";2003;15;132;14903;14438;113555;110028
"Naustahverfi, Akureyri";2004;20;109;13779;13556;127448;125258
"Naustahverfi, Akureyri";2005;37;105;16079;15768;152449;149563
"Naustahverfi, Akureyri";2006;31;200;31465;31177;183818;180816
"Naustahverfi, Akureyri";2007;44;99;19894;19303;200958;195278
"Naustahverfi, Akureyri";2008;17;105;21960;21256;209769;203139
"Naustahverfi, Akureyri";2009;10;105;22913;22565;220705;217488
"Naustahverfi, Akureyri";2010;19;99;20147;19802;203744;200496
"Naustahverfi, Akureyri";2011;19;101;22508;22045;223713;218314
"Naustahverfi, Akureyri";2012;44;94;22735;22301;243111;238792
"Naustahverfi, Akureyri";2013;42;99;25808;25178;259514;253442
"Naustahverfi, Akureyri";2014;67;100;26524;26131;263914;260040
"Naustahverfi, Akureyri";2015;65;108;30113;29815;280289;277546
"Naustahverfi, Akureyri";2016;90;97;29903;29387;313878;308243
"Naustahverfi, Akureyri";2017;78;94;33183;32689;355475;349939
"Naustahverfi, Akureyri";2018;65;94;37456;36980;399745;394752
"Naustahverfi, Akureyri";2019;46;96;36271;35982;381105;377953
"Naustahverfi, Akureyri";2020;65;94;37321;36860;400660;395905
